dept_abb,dept_name,dept_id,dept_url,priority_body,priority_id,priority_strapline,action_id,action_body,action_notes,schedule_start_date,schedule_end_date,actual_start_date,actual_end_date,subaction_id,subaction_body,subaction_notes,subaction_schedule_start_date,subaction_schedule_end_date,act_start,act_end,sched_start_endmonth,sched_end_endmonth,started,ended,start_status,end_status,startearlyby,startedlateby,startoverdueby,endearlyby,endedlateby,endoverdueby,duetostartthismonth,duetoendthismonth,duetostartwithin30days,duetoendwithin30days,duetostartlastmonth,duetoendinlast30days,duetoendlastmonth,duetoendinlast30days,startedthismonth,startedinlast30days,endedthismonth,endedinlast30days,datetimestring,datestring
CO,Cabinet Office,1,http://www.cabinetoffice.gov.uk,1. Drive efficiency and effectiveness in government,76,"Help tackle the deficit by spending less taxpayers’ money and spending it more wisely, collecting consistent Management Information to improve the efficiency of Government, and contributing to the reform of Government to improve effectiveness and accountability",2547,"1.1 Support new forms of provision in the public sector, including mutuals, co-operatives, joint ventures and other commercial models",,,,,,2579,1.1.i Develop and publish a forward look of emerging public service mutuals across England,,Started,Jul 2012,NA,NA,NA,2012-07-31,NA,NA,NA,NA,1,0,Carried over,Not due,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,0,0,0,NA,NA,NA,NA,2012-07-30 20:47:17,2012-07-30
CO,Cabinet Office,1,http://www.cabinetoffice.gov.uk,1. Drive efficiency and effectiveness in government,76,"Help tackle the deficit by spending less taxpayers’ money and spending it more wisely, collecting consistent Management Information to improve the efficiency of Government, and contributing to the reform of Government to improve effectiveness and accountability",2547,"1.1 Support new forms of provision in the public sector, including mutuals, co-operatives, joint ventures and other commercial models",,,,,,2583,"1.1.ii Publish report on the work of the Mutuals Taskforce, the first annual report on the wider mutuals programme and a ‘one-year on’ report",,Jul 2012,Oct 2013,NA,NA,2012-07-31,2013-10-31,487,NA,NA,NA,0,0,Not due,Not due,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,NA,NA,NA,NA,2012-07-30 20:47:17,2012-07-30
CO,Cabinet Office,1,http://www.cabinetoffice.gov.uk,1. Drive efficiency and effectiveness in government,76,"Help tackle the deficit by spending less taxpayers’ money and spending it more wisely, collecting consistent Management Information to improve the efficiency of Government, and contributing to the reform of Government to improve effectiveness and accountability",2547,"1.1 Support new forms of provision in the public sector, including mutuals, co-operatives, joint ventures and other commercial models",,,,,,2587,1.1.iii Publish the first quarterly report on the number of fledgling mutuals provided with support and/or advice,"<p><a href=""http://mutuals.cabinetoffice.gov.uk/documents/mutuals-support-programme-statistics"">http://mutuals.cabinetoffice.gov.uk/documents/mutuals-support-programme-statistics</a></p>",Jun 2012,Jun 2012,2012-05-31,2012-05-31,2012-06-30,2012-06-30,29,1,NA,-28,1,1,Early,Early,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,0,1,2012-07-30 20:47:17,2012-07-30
CO,Cabinet Office,1,http://www.cabinetoffice.gov.uk,1. Drive efficiency and effectiveness in government,76,"Help tackle the deficit by spending less taxpayers’ money and spending it more wisely, collecting consistent Management Information to improve the efficiency of Government, and contributing to the reform of Government to improve effectiveness and accountability",2551,1.2 Introduce greater choice in and control of public services to individuals and communities through Open Public Services,,,,,,2591,1.2.i Complete the call for evidence on the value of legislating for a ‘right’ to choice,,Started,Jun 2012,NA,2012-06-22,NA,2012-06-30,NA,NA,NA,NA,1,1,Carried over,On time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,0,1,2012-07-30 20:47:17,2012-07-30
CO,Cabinet Office,1,http://www.cabinetoffice.gov.uk,1. Drive efficiency and effectiveness in government,76,"Help tackle the deficit by spending less taxpayers’ money and spending it more wisely, collecting consistent Management Information to improve the efficiency of Government, and contributing to the reform of Government to improve effectiveness and accountability",2551,1.2 Introduce greater choice in and control of public services to individuals and communities through Open Public Services,,,,,,2599,1.2.ii Publish the report of the Independent Review of barriers to choice,,Dec 2012,Dec 2012,NA,NA,2012-12-31,2012-12-31,30,NA,NA,NA,0,0,Not due,Not due,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2012-07-30 20:47:17,2012-07-30
CO,Cabinet Office,1,http://www.cabinetoffice.gov.uk,1. Drive efficiency and effectiveness in government,76,"Help tackle the deficit by spending less taxpayers’ money and spending it more wisely, collecting consistent Management Information to improve the efficiency of Government, and contributing to the reform of Government to improve effectiveness and accountability",2551,1.2 Introduce greater choice in and control of public services to individuals and communities through Open Public Services,,,,,,2605,1.2.iii Publish the Government response to the Independent Review’s recommendations,,Mar 2013,Mar 2013,NA,NA,2013-03-31,2013-03-31,30,NA,NA,NA,0,0,Not due,Not due,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2012-07-30 20:47:17,2012-07-30
CO,Cabinet Office,1,http://www.cabinetoffice.gov.uk,1. Drive efficiency and effectiveness in government,76,"Help tackle the deficit by spending less taxpayers’ money and spending it more wisely, collecting consistent Management Information to improve the efficiency of Government, and contributing to the reform of Government to improve effectiveness and accountability",2551,1.2 Introduce greater choice in and control of public services to individuals and communities through Open Public Services,,,,,,2995,1.2.iv Publish proposals to extend payment by results into new public service areas,,Mar 2013,Mar 2013,NA,NA,2013-03-31,2013-03-31,30,NA,NA,NA,0,0,Not due,Not due,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2012-07-30 20:47:17,2012-07-30
CO,Cabinet Office,1,http://www.cabinetoffice.gov.uk,1. Drive efficiency and effectiveness in government,76,"Help tackle the deficit by spending less taxpayers’ money and spending it more wisely, collecting consistent Management Information to improve the efficiency of Government, and contributing to the reform of Government to improve effectiveness and accountability",2555,1.3 Reform procurement to support growth,,,,,,2997,1.3.i Publish sectoral pipelines every six months,,Started,Oct 2012,NA,NA,NA,2012-10-31,NA,NA,NA,NA,1,0,Carried over,Not due,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,2012-07-30 20:47:17,2012-07-30
CO,Cabinet Office,1,http://www.cabinetoffice.gov.uk,1. Drive efficiency and effectiveness in government,76,"Help tackle the deficit by spending less taxpayers’ money and spending it more wisely, collecting consistent Management Information to improve the efficiency of Government, and contributing to the reform of Government to improve effectiveness and accountability",2555,1.3 Reform procurement to support growth,,,,,,2999,"1.3.ii Implement and operate the Government’s SMEs programme, working with other Government Departments to deliver on the aim that 25% of contract value is awarded to SMEs",,Started,Mar 2013,NA,NA,NA,2013-03-31,NA,NA,NA,NA,1,0,Carried over,Not due,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,2012-07-30 20:47:17,2012-07-30
CO,Cabinet Office,1,http://www.cabinetoffice.gov.uk,1. Drive efficiency and effectiveness in government,76,"Help tackle the deficit by spending less taxpayers’ money and spending it more wisely, collecting consistent Management Information to improve the efficiency of Government, and contributing to the reform of Government to improve effectiveness and accountability",2555,1.3 Reform procurement to support growth,,,,,,3001,"1.3.iii Deliver all but the most complex procurements within 120 working days, working with other government departments",,Started,Mar 2013,NA,NA,NA,2013-03-31,NA,NA,NA,NA,1,0,Carried over,Not due,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,2012-07-30 20:47:17,2012-07-30
